City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
362,Loandjili,79.09,overcast clouds,-4.7561,11.8578,Pointe-Noire
363,Diamantino,75.65,broken clouds,-14.4086,-56.4461,Diamantino
382,Cabedelo,81.27,few clouds,-6.9811,-34.8339,Cabedelo
385,Terra Santa,75.85,broken clouds,-2.1042,-56.4869,Terra Santa
391,Faanui,79.32,light rain,-16.4833,-151.75,Vaitape
392,Tumaco,77.72,broken clouds,1.7986,-78.8156,Tumaco
393,West Bay,81.07,few clouds,19.3667,-81.4167,West Bay
397,Manoel Urbano,75.54,overcast clouds,-8.8389,-69.2597,Manoel Urbano
398,Mandera,81.81,broken clouds,3.9366,41.867,Mandera
402,Ataco,78.08,overcast clouds,3.5915,-75.3818,Ataco
409,Guamuchil,76.68,clear sky,25.4667,-108.1,Guamúchil
419,Puerto Colombia,80.69,clear sky,10.9878,-74.9547,Sabanilla Montecarmelo
421,Auki,84.85,overcast clouds,-8.7676,160.7034,Auki
424,Leona Vicario,80.47,few clouds,20.9667,-87.1917,Leona Vicario
428,Pontes E Lacerda,79.05,broken clouds,-15.2261,-59.3353,Centro
430,Laem Sing,77.14,broken clouds,12.4816,102.0738,Pak Nam Laem Sing
436,Bassila,81.45,overcast clouds,9.0081,1.6654,Bassila
437,Belmonte,78.42,overcast clouds,-15.8631,-38.8828,Belmonte
441,Dolores,79.29,broken clouds,-36.3132,-57.6792,Dolores
446,Cap Malheureux,77.47,overcast clouds,-19.9842,57.6142,Grand Baie
447,Acapulco,84.02,clear sky,16.8634,-99.8901,Acapulco
451,Tupancireta,80.74,overcast clouds,-29.0806,-53.8358,Tupanciretã
452,Bima,77.63,broken clouds,-8.4667,118.7167,Bima
454,Kilindoni,80.46,light rain,-7.9139,39.6668,Kilindoni
456,Beloha,75.54,overcast clouds,-25.1667,45.05,Beloha
466,Santo Tomas,75.49,broken clouds,14.1079,121.1414,Calamba
470,Bairiki,86.0,few clouds,1.3292,172.9752,Bairiki
472,Sola,79.68,light rain,-13.8833,167.55,Sola
473,Mogadishu,77.09,scattered clouds,2.0371,45.3438,Mogadishu
474,Celestun,76.84,clear sky,20.8667,-90.4,Celestún
476,Lagos,82.72,clear sky,6.5833,3.75,Lekki
478,Wawa,81.99,overcast clouds,9.9022,4.4192,Wawa
484,Miri,75.34,scattered clouds,4.4148,114.0089,Miri
499,Labuan,77.36,few clouds,5.2767,115.2417,Labuan
501,Osorno,75.51,clear sky,-40.5667,-73.15,Osorno
502,Mariel,78.94,moderate rain,22.9875,-82.7536,Mariel
504,Sibu,75.51,scattered clouds,2.3,111.8167,Sibu
508,Grand Gaube,77.38,overcast clouds,-20.0064,57.6608,Goodlands
509,Kulhudhuffushi,79.63,overcast clouds,6.6221,73.07,Kulhudhuffushi
510,Jamame,76.1,scattered clouds,0.0722,42.7506,Jamaame
514,Gustavo Diaz Ordaz,76.03,clear sky,26.2333,-98.5833,Gustavo Díaz Ordaz
520,Ta Khmau,78.85,few clouds,11.4833,104.95,Phnom Penh
523,Hambantota,75.6,overcast clouds,6.1241,81.1185,Hambantota
529,Maridi,75.0,broken clouds,4.9158,29.4742,Maridi
532,Nha Trang,77.0,overcast clouds,12.25,109.1833,Nha Trang
544,Chunhuhub,85.37,clear sky,19.55,-88.6833,Chunhubub
546,Tamandare,79.23,clear sky,-8.7597,-35.1047,Tamandaré
547,Manado,75.97,broken clouds,1.487,124.8455,Manado
556,Linhares,75.4,moderate rain,-19.3911,-40.0722,Linhares
569,Guane,77.61,scattered clouds,22.2025,-84.0875,Guane
570,Conde,80.06,few clouds,-7.2597,-34.9075,João Pessoa
571,Filingue,76.73,clear sky,14.3521,3.3168,Filingué
577,Broken Hill,79.16,clear sky,-31.95,141.4333,Broken Hill
580,Ferkessedougou,80.37,clear sky,9.6,-5.2,Ferkessédougou
585,Sabang,78.17,light rain,5.8933,95.3214,Sabang
586,Fare,79.12,light rain,-16.7,-151.0167,Fare
596,Doka,75.54,clear sky,13.5167,35.7667,Doka
598,Penapolis,77.61,overcast clouds,-21.4197,-50.0775,Penápolis
600,Bonthe,76.57,clear sky,7.5264,-12.505,Bonthe
616,Boa Vista,78.78,broken clouds,2.8197,-60.6733,Boa Vista
617,Bridgetown,79.29,few clouds,13.1,-59.6167,Bridgetown
621,Cantaura,76.41,overcast clouds,9.3057,-64.3584,Cantaura
623,San Carlos,82.06,overcast clouds,9.6612,-68.5827,San Carlos
624,Codajas,75.61,scattered clouds,-3.8367,-62.0569,Codajás
626,Biak,77.34,overcast clouds,-0.9131,122.8766,CV. MEGA RENTAL Mobil Luwuk Banggai
633,Cockburn Town,77.77,few clouds,21.4612,-71.1419,Cockburn Town
634,Ahuimanu,83.91,broken clouds,21.4447,-157.8378,Honolulu
636,El Alto,80.26,scattered clouds,-4.2714,-81.2147,Pueb el Alto
641,Kununurra,82.38,broken clouds,-15.7667,128.7333,Kununurra
643,Porto Velho,75.25,moderate rain,-8.7619,-63.9039,Porto Velho
645,Maragogi,79.36,clear sky,-9.0122,-35.2225,Maragogi
658,Port Moresby,83.62,haze,-9.4431,147.1797,Port Moresby
676,Mitsamiouli,80.08,moderate rain,-11.3847,43.2844,Mitsamiouli
677,Ailigandi,79.09,clear sky,9.2333,-78.0167,Isla Lorenzo Bello
678,Coahuayana,80.22,few clouds,18.7333,-103.6833,Coahuayana de Hidalgo
683,Balabac,80.35,overcast clouds,7.9868,117.0645,Balabac
684,Puerto Maldonado,88.2,clear sky,-12.6,-69.1833,Cercado de Tambopata
685,Manggar,77.0,overcast clouds,-2.8833,108.2667,Manggar
691,Nabire,75.94,overcast clouds,-3.3667,135.4833,Nabire
692,Vilhena,75.42,scattered clouds,-12.7406,-60.1458,Vilhena
696,Obera,82.0,broken clouds,-27.4871,-55.1199,Oberá
